Provinsi,Kabupaten,Kecamatan,Bulan,Luas_Tanam,Luas_Panen,Bulan_Angka,Fase_Vegetatif_Est,Fase_Generatif_Est,Fase_Siap_Panen_Est
Jawa Tengah,Banjarnegara,Madukara,Mei,48.8,89.49,5,35.17,52.17,52.6
Jawa Tengah,Banjarnegara,Madukara,Juni,31.19,64.8,6,48.8,35.17,52.17
Jawa Tengah,Banjarnegara,Madukara,Juli,53.69,46.44,7,31.19,48.8,35.17
Jawa Tengah,Banjarnegara,Madukara,Agustus,60.4,31.48,8,53.69,31.19,48.8
Jawa Tengah,Banjarnegara,Madukara,September,58.28,46.47,9,60.4,53.69,31.19
Jawa Tengah,Banjarnegara,Madukara,Oktober,36.93,36.18,10,58.28,60.4,53.69
Jawa Tengah,Banjarnegara,Madukara,November,55.55,57.79,11,36.93,58.28,60.4
Jawa Tengah,Banjarnegara,Madukara,Desember,43.1,47.57,12,55.55,36.93,58.28
Jawa Tengah,Banjarnegara,Mandiraja,April,12.41,728.47,4,17.36,54.07,658.62
Jawa Tengah,Banjarnegara,Mandiraja,Mei,230.73,658.55,5,12.41,17.36,54.07
Jawa Tengah,Banjarnegara,Mandiraja,Juni,847.07,37.76,6,230.73,12.41,17.36
Jawa Tengah,Banjarnegara,Mandiraja,Juli,317.61,9.38,7,847.07,230.73,12.41
Jawa Tengah,Banjarnegara,Mandiraja,Agustus,52.14,15.25,8,317.61,847.07,230.73
Jawa Tengah,Banjarnegara,Mandiraja,September,16.61,265.75,9,52.14,317.61,847.07
Jawa Tengah,Banjarnegara,Mandiraja,Oktober,1.68,901.35,10,16.61,52.14,317.61
Jawa Tengah,Banjarnegara,Mandiraja,November,105.31,254.21,11,1.68,16.61,52.14
Jawa Tengah,Banjarnegara,Mandiraja,Desember,924.31,18.4,12,105.31,1.68,16.61
Jawa Tengah,Banjarnegara,Pagedongan,April,7.31,25.11,4,16.14,14.94,29.33
Jawa Tengah,Banjarnegara,Pagedongan,Mei,17.31,26.76,5,7.31,16.14,14.94
Jawa Tengah,Banjarnegara,Pagedongan,Juni,14.32,19.32,6,17.31,7.31,16.14
Jawa Tengah,Banjarnegara,Pagedongan,Juli,22.74,10.37,7,14.32,17.31,7.31
Jawa Tengah,Banjarnegara,Pagedongan,Agustus,20.76,4.78,8,22.74,14.32,17.31
Jawa Tengah,Banjarnegara,Pagedongan,September,12.52,19.92,9,20.76,22.74,14.32
Jawa Tengah,Banjarnegara,Pagedongan,Oktober,3.9,18.6,10,12.52,20.76,22.74
Jawa Tengah,Banjarnegara,Pagedongan,November,25.93,22.13,11,3.9,12.52,20.76
Jawa Tengah,Banjarnegara,Pagedongan,Desember,5.96,14.46,12,25.93,3.9,12.52
Jawa Tengah,Banjarnegara,Pagentan,April,15.08,46.69,4,31.79,62.04,91.06
Jawa Tengah,Banjarnegara,Pagentan,Mei,14.09,83.03,5,15.08,31.79,62.04
Jawa Tengah,Banjarnegara,Pagentan,Juni,15.64,68.35,6,14.09,15.08,31.79
Jawa Tengah,Banjarnegara,Pagentan,Juli,78.1,14.48,7,15.64,14.09,15.08
Jawa Tengah,Banjarnegara,Pagentan,Agustus,56.76,10.57,8,78.1,15.64,14.09
Jawa Tengah,Banjarnegara,Pagentan,September,29.3,16.06,9,56.76,78.1,15.64
Jawa Tengah,Banjarnegara,Pagentan,Oktober,7.45,35.62,10,29.3,56.76,78.1
Jawa Tengah,Banjarnegara,Pagentan,November,19.68,86.48,11,7.45,29.3,56.76
Jawa Tengah,Banjarnegara,Pagentan,Desember,33.87,35.74,12,19.68,7.45,29.3
Jawa Tengah,Banjarnegara,Pandanarum,April,47.96,158.96,4,87.15,172.81,246.5
Jawa Tengah,Banjarnegara,Pandanarum,Mei,93.03,234.49,5,47.96,87.15,172.81
Jawa Tengah,Banjarnegara,Pandanarum,Juni,98.78,159.5,6,93.03,47.96,87.15
Jawa Tengah,Banjarnegara,Pandanarum,Juli,136.19,52.53,7,98.78,93.03,47.96
Jawa Tengah,Banjarnegara,Pandanarum,Agustus,124.97,43.9,8,136.19,98.78,93.03
Jawa Tengah,Banjarnegara,Pandanarum,September,70.27,116.7,9,124.97,136.19,98.78
Jawa Tengah,Banjarnegara,Pandanarum,Oktober,69.04,133.78,10,70.27,124.97,136.19
Jawa Tengah,Banjarnegara,Pandanarum,November,128.06,115.07,11,69.04,70.27,124.97
Jawa Tengah,Banjarnegara,Pandanarum,Desember,98.06,85.56,12,128.06,69.04,70.27
Jawa Tengah,Banjarnegara,Pejawaran,April,1.78,11.96,4,15.35,49.94,42.89
Jawa Tengah,Banjarnegara,Pejawaran,Mei,1.21,46.91,5,1.78,15.35,49.94
Jawa Tengah,Banjarnegara,Pejawaran,Juni,5.02,48.38,6,1.21,1.78,15.35
Jawa Tengah,Banjarnegara,Pejawaran,Juli,45.01,3.67,7,5.02,1.21,1.78
Jawa Tengah,Banjarnegara,Pejawaran,Agustus,40.37,0.51,8,45.01,5.02,1.21
Jawa Tengah,Banjarnegara,Pejawaran,September,13.53,1.88,9,40.37,45.01,5.02
Jawa Tengah,Banjarnegara,Pejawaran,Oktober,0.59,12.75,10,13.53,40.37,45.01
Jawa Tengah,Banjarnegara,Pejawaran,November,5.23,57.66,11,0.59,13.53,40.37
Jawa Tengah,Banjarnegara,Pejawaran,Desember,4.0,26.48,12,5.23,0.59,13.53
Jawa Tengah,Banjarnegara,Punggelan,April,24.23,222.64,4,80.6,131.89,196.1
Jawa Tengah,Banjarnegara,Punggelan,Mei,110.05,196.52,5,24.23,80.6,131.89
Jawa Tengah,Banjarnegara,Punggelan,Juni,136.42,127.89,6,110.05,24.23,80.6
Jawa Tengah,Banjarnegara,Punggelan,Juli,156.11,43.59,7,136.42,110.05,24.23
Jawa Tengah,Banjarnegara,Punggelan,Agustus,104.73,36.51,8,156.11,136.42,110.05
Jawa Tengah,Banjarnegara,Punggelan,September,73.17,119.64,9,104.73,156.11,136.42
Jawa Tengah,Banjarnegara,Punggelan,Oktober,52.86,165.1,10,73.17,104.73,156.11
Jawa Tengah,Banjarnegara,Punggelan,November,136.59,147.35,11,52.86,73.17,104.73
Jawa Tengah,Banjarnegara,Punggelan,Desember,114.22,67.19,12,136.59,52.86,73.17
Jawa Tengah,Banjarnegara,Purwanegara,April,32.27,467.4,4,46.48,81.08,347.43
Jawa Tengah,Banjarnegara,Purwanegara,Mei,137.65,331.28,5,32.27,46.48,81.08
Jawa Tengah,Banjarnegara,Purwanegara,Juni,513.37,71.25,6,137.65,32.27,46.48
Jawa Tengah,Banjarnegara,Purwanegara,Juli,165.76,30.81,7,513.37,137.65,32.27
Jawa Tengah,Banjarnegara,Purwanegara,Agustus,62.7,28.32,8,165.76,513.37,137.65
Jawa Tengah,Banjarnegara,Purwanegara,September,36.19,163.51,9,62.7,165.76,513.37
Jawa Tengah,Banjarnegara,Purwanegara,Oktober,11.55,529.15,10,36.19,62.7,165.76
Jawa Tengah,Banjarnegara,Purwanegara,November,75.3,159.88,11,11.55,36.19,62.7
Jawa Tengah,Banjarnegara,Purwanegara,Desember,487.41,28.91,12,75.3,11.55,36.19
Jawa Tengah,Banjarnegara,Purworeja Klampok,April,1.92,485.47,4,5.68,20.17,218.8
Jawa Tengah,Banjarnegara,Purworeja Klampok,Mei,185.24,211.21,5,1.92,5.68,20.17
Jawa Tengah,Banjarnegara,Purworeja Klampok,Juni,408.73,12.07,6,185.24,1.92,5.68
Jawa Tengah,Banjarnegara,Purworeja Klampok,Juli,83.98,3.5,7,408.73,185.24,1.92
Jawa Tengah,Banjarnegara,Purworeja Klampok,Agustus,18.74,5.79,8,83.98,408.73,185.24
Jawa Tengah,Banjarnegara,Purworeja Klampok,September,8.16,222.6,9,18.74,83.98,408.73
Jawa Tengah,Banjarnegara,Purworeja Klampok,Oktober,3.43,392.54,10,8.16,18.74,83.98
Jawa Tengah,Banjarnegara,Purworeja Klampok,November,101.34,67.52,11,3.43,8.16,18.74
Jawa Tengah,Banjarnegara,Purworeja Klampok,Desember,523.68,7.79,12,101.34,3.43,8.16
Jawa Tengah,Banjarnegara,Rakit,April,14.0,74.44,4,55.29,259.53,430.1
Jawa Tengah,Banjarnegara,Rakit,Mei,30.7,448.74,5,14.0,55.29,259.53
Jawa Tengah,Banjarnegara,Rakit,Juni,196.23,219.72,6,30.7,14.0,55.29
Jawa Tengah,Banjarnegara,Rakit,Juli,334.83,26.35,7,196.23,30.7,14.0
Jawa Tengah,Banjarnegara,Rakit,Agustus,160.44,8.73,8,334.83,196.23,30.7
Jawa Tengah,Banjarnegara,Rakit,September,52.93,36.5,9,160.44,334.83,196.23
Jawa Tengah,Banjarnegara,Rakit,Oktober,8.78,254.29,10,52.93,160.44,334.83
Jawa Tengah,Banjarnegara,Rakit,November,76.38,362.95,11,8.78,52.93,160.44
Jawa Tengah,Banjarnegara,Rakit,Desember,237.94,80.03,12,76.38,8.78,52.93
Jawa Tengah,Banjarnegara,Sigaluh,April,8.4,40.5,4,18.62,16.1,25.45
Jawa Tengah,Banjarnegara,Sigaluh,Mei,19.34,25.02,5,8.4,18.62,16.1
Jawa Tengah,Banjarnegara,Sigaluh,Juni,14.02,20.08,6,19.34,8.4,18.62
Jawa Tengah,Banjarnegara,Sigaluh,Juli,22.75,11.64,7,14.02,19.34,8.4
Jawa Tengah,Banjarnegara,Sigaluh,Agustus,23.72,9.57,8,22.75,14.02,19.34
Jawa Tengah,Banjarnegara,Sigaluh,September,18.78,16.63,9,23.72,22.75,14.02
Jawa Tengah,Banjarnegara,Sigaluh,Oktober,11.37,17.78,10,18.78,23.72,22.75
Jawa Tengah,Banjarnegara,Sigaluh,November,19.41,25.33,11,11.37,18.78,23.72
Jawa Tengah,Banjarnegara,Sigaluh,Desember,15.23,16.79,12,19.41,11.37,18.78
Jawa Tengah,Banjarnegara,Susukan,April,13.86,839.63,4,8.32,31.04,316.78
Jawa Tengah,Banjarnegara,Susukan,Mei,525.23,274.26,5,13.86,8.32,31.04
Jawa Tengah,Banjarnegara,Susukan,Juni,441.25,20.61,6,525.23,13.86,8.32
Jawa Tengah,Banjarnegara,Susukan,Juli,64.74,16.38,7,441.25,525.23,13.86
Jawa Tengah,Banjarnegara,Susukan,Agustus,53.7,49.02,8,64.74,441.25,525.23
Jawa Tengah,Banjarnegara,Susukan,September,10.07,581.64,9,53.7,64.74,441.25
Jawa Tengah,Banjarnegara,Susukan,Oktober,13.87,374.29,10,10.07,53.7,64.74
Jawa Tengah,Banjarnegara,Susukan,November,547.29,55.36,11,13.87,10.07,53.7
Jawa Tengah,Banjarnegara,Susukan,Desember,370.48,9.44,12,547.29,13.87,10.07
Jawa Tengah,Banjarnegara,Wanadadi,April,34.62,103.39,4,82.43,107.17,231.46
Jawa Tengah,Banjarnegara,Wanadadi,Mei,60.88,232.61,5,34.62,82.43,107.17
Jawa Tengah,Banjarnegara,Wanadadi,Juni,82.12,131.15,6,60.88,34.62,82.43
Jawa Tengah,Banjarnegara,Wanadadi,Juli,197.05,56.42,7,82.12,60.88,34.62
Jawa Tengah,Banjarnegara,Wanadadi,Agustus,157.54,31.14,8,197.05,82.12,60.88
Jawa Tengah,Banjarnegara,Wanadadi,September,58.56,73.62,9,157.54,197.05,82.12
Jawa Tengah,Banjarnegara,Wanadadi,Oktober,42.49,95.68,10,58.56,157.54,197.05
Jawa Tengah,Banjarnegara,Wanadadi,November,97.93,208.49,11,42.49,58.56,157.54
Jawa Tengah,Banjarnegara,Wanadadi,Desember,102.2,115.24,12,97.93,42.49,58.56
Jawa Tengah,Banjarnegara,Wanayasa,April,13.8,42.33,4,37.16,57.83,76.39
Jawa Tengah,Banjarnegara,Wanayasa,Mei,14.26,73.45,5,13.8,37.16,57.83
Jawa Tengah,Banjarnegara,Wanayasa,Juni,28.69,65.06,6,14.26,13.8,37.16
Jawa Tengah,Banjarnegara,Wanayasa,Juli,63.28,17.84,7,28.69,14.26,13.8
Jawa Tengah,Banjarnegara,Wanayasa,Agustus,55.33,8.51,8,63.28,28.69,14.26
Jawa Tengah,Banjarnegara,Wanayasa,September,32.05,18.4,9,55.33,63.28,28.69
Jawa Tengah,Banjarnegara,Wanayasa,Oktober,10.28,42.47,10,32.05,55.33,63.28
Jawa Tengah,Banjarnegara,Wanayasa,November,28.91,66.26,11,10.28,32.05,55.33
Jawa Tengah,Banjarnegara,Wanayasa,Desember,23.09,38.46,12,28.91,10.28,32.05
Jawa Tengah,Banyumas,Ajibarang,April,147.4,604.73,4,127.35,216.65,292.99
Jawa Tengah,Banyumas,Ajibarang,Mei,405.46,275.95,5,147.4,127.35,216.65
Jawa Tengah,Banyumas,Ajibarang,Juni,245.39,204.15,6,405.46,147.4,127.35
Jawa Tengah,Banyumas,Ajibarang,Juli,190.46,169.3,7,245.39,405.46,147.4
Jawa Tengah,Banyumas,Ajibarang,Agustus,241.39,125.32,8,190.46,245.39,405.46
Jawa Tengah,Banyumas,Ajibarang,September,77.2,393.92,9,241.39,190.46,245.39
Jawa Tengah,Banyumas,Ajibarang,Oktober,136.3,240.79,10,77.2,241.39,190.46
Jawa Tengah,Banyumas,Ajibarang,November,246.68,238.31,11,136.3,77.2,241.39
Jawa Tengah,Banyumas,Ajibarang,Desember,436.48,143.48,12,246.68,136.3,77.2
Jawa Tengah,Banyumas,Banyumas,April,72.79,489.84,4,3.71,14.51,59.74
Jawa Tengah,Banyumas,Banyumas,Mei,420.96,33.22,5,72.79,3.71,14.51
Jawa Tengah,Banyumas,Banyumas,Juni,60.39,9.09,6,420.96,72.79,3.71
Jawa Tengah,Banyumas,Banyumas,Juli,41.44,14.85,7,60.39,420.96,72.79
Jawa Tengah,Banyumas,Banyumas,Agustus,20.28,152.27,8,41.44,60.39,420.96
Jawa Tengah,Banyumas,Banyumas,September,28.02,349.91,9,20.28,41.44,60.39
Jawa Tengah,Banyumas,Banyumas,Oktober,83.36,61.34,10,28.02,20.28,41.44
Jawa Tengah,Banyumas,Banyumas,November,339.55,28.08,11,83.36,28.02,20.28
Jawa Tengah,Banyumas,Banyumas,Desember,73.3,23.91,12,339.55,83.36,28.02
Jawa Tengah,Banyumas,Baturraden,April,63.13,110.03,4,133.3,95.91,145.77
Jawa Tengah,Banyumas,Baturraden,Mei,72.76,125.32,5,63.13,133.3,95.91
Jawa Tengah,Banyumas,Baturraden,Juni,80.9,139.4,6,72.76,63.13,133.3
Jawa Tengah,Banyumas,Baturraden,Juli,169.22,94.3,7,80.9,72.76,63.13
Jawa Tengah,Banyumas,Baturraden,Agustus,107.3,43.31,8,169.22,80.9,72.76
Jawa Tengah,Banyumas,Baturraden,September,59.16,82.17,9,107.3,169.22,80.9
Jawa Tengah,Banyumas,Baturraden,Oktober,51.07,114.48,10,59.16,107.3,169.22
Jawa Tengah,Banyumas,Baturraden,November,84.29,163.31,11,51.07,59.16,107.3
Jawa Tengah,Banyumas,Baturraden,Desember,122.44,67.51,12,84.29,51.07,59.16
Jawa Tengah,Banyumas,Cilongok,April,130.92,769.31,4,144.21,281.8,567.76
Jawa Tengah,Banyumas,Cilongok,Mei,377.08,574.15,5,130.92,144.21,281.8
Jawa Tengah,Banyumas,Cilongok,Juni,613.43,246.27,6,377.08,130.92,144.21
Jawa Tengah,Banyumas,Cilongok,Juli,373.64,164.89,7,613.43,377.08,130.92
Jawa Tengah,Banyumas,Cilongok,Agustus,190.78,116.76,8,373.64,613.43,377.08
Jawa Tengah,Banyumas,Cilongok,September,122.23,412.61,9,190.78,373.64,613.43
Jawa Tengah,Banyumas,Cilongok,Oktober,128.76,627.82,10,122.23,190.78,373.64
Jawa Tengah,Banyumas,Cilongok,November,337.59,318.36,11,128.76,122.23,190.78
Jawa Tengah,Banyumas,Cilongok,Desember,649.28,138.42,12,337.59,128.76,122.23
Jawa Tengah,Banyumas,Gumelar,April,130.21,601.69,4,43.46,127.74,204.57
Jawa Tengah,Banyumas,Gumelar,Mei,420.37,152.91,5,130.21,43.46,127.74
Jawa Tengah,Banyumas,Gumelar,Juni,95.49,107.25,6,420.37,130.21,43.46
Jawa Tengah,Banyumas,Gumelar,Juli,155.01,95.53,7,95.49,420.37,130.21
Jawa Tengah,Banyumas,Gumelar,Agustus,80.57,171.21,8,155.01,95.49,420.37
Jawa Tengah,Banyumas,Gumelar,September,94.6,338.44,9,80.57,155.01,95.49
Jawa Tengah,Banyumas,Gumelar,Oktober,93.95,115.68,10,94.6,80.57,155.01
Jawa Tengah,Banyumas,Gumelar,November,239.31,141.54,11,93.95,94.6,80.57
Jawa Tengah,Banyumas,Gumelar,Desember,284.78,63.21,12,239.31,93.95,94.6
Jawa Tengah,Banyumas,Jatilawang,April,40.33,1531.67,4,2.84,19.41,51.24
Jawa Tengah,Banyumas,Jatilawang,Mei,1292.17,39.56,5,40.33,2.84,19.41
Jawa Tengah,Banyumas,Jatilawang,Juni,315.13,14.59,6,1292.17,40.33,2.84
Jawa Tengah,Banyumas,Jatilawang,Juli,63.28,28.59,7,315.13,1292.17,40.33
Jawa Tengah,Banyumas,Jatilawang,Agustus,20.35,165.38,8,63.28,315.13,1292.17
Jawa Tengah,Banyumas,Jatilawang,September,1.33,1280.44,9,20.35,63.28,315.13
Jawa Tengah,Banyumas,Jatilawang,Oktober,51.59,211.47,10,1.33,20.35,63.28
Jawa Tengah,Banyumas,Jatilawang,November,1330.48,40.14,11,51.59,1.33,20.35
Jawa Tengah,Banyumas,Jatilawang,Desember,327.03,5.0,12,1330.48,51.59,1.33
Jawa Tengah,Banyumas,Kalibagor,April,45.02,613.27,4,7.07,26.45,207.54
Jawa Tengah,Banyumas,Kalibagor,Mei,360.27,185.52,5,45.02,7.07,26.45
Jawa Tengah,Banyumas,Kalibagor,Juni,336.76,18.82,6,360.27,45.02,7.07
Jawa Tengah,Banyumas,Kalibagor,Juli,101.0,23.53,7,336.76,360.27,45.02
Jawa Tengah,Banyumas,Kalibagor,Agustus,18.14,82.08,8,101.0,336.76,360.27
Jawa Tengah,Banyumas,Kalibagor,September,11.11,354.43,9,18.14,101.0,336.76
Jawa Tengah,Banyumas,Kalibagor,Oktober,27.98,332.15,10,11.11,18.14,101.0
Jawa Tengah,Banyumas,Kalibagor,November,397.25,63.79,11,27.98,11.11,18.14
Jawa Tengah,Banyumas,Kalibagor,Desember,331.12,8.94,12,397.25,27.98,11.11
Jawa Tengah,Banyumas,Karanglewas,April,48.0,263.82,4,97.13,198.64,240.72
Jawa Tengah,Banyumas,Karanglewas,Mei,159.31,233.58,5,48.0,97.13,198.64
Jawa Tengah,Banyumas,Karanglewas,Juni,201.61,196.39,6,159.31,48.0,97.13
Jawa Tengah,Banyumas,Karanglewas,Juli,204.41,88.19,7,201.61,159.31,48.0
Jawa Tengah,Banyumas,Karanglewas,Agustus,170.84,37.77,8,204.41,201.61,159.31
Jawa Tengah,Banyumas,Karanglewas,September,72.4,185.5,9,170.84,204.41,201.61
Jawa Tengah,Banyumas,Karanglewas,Oktober,83.75,204.86,10,72.4,170.84,204.41
Jawa Tengah,Banyumas,Karanglewas,November,149.75,197.15,11,83.75,72.4,170.84
Jawa Tengah,Banyumas,Karanglewas,Desember,172.19,140.21,12,149.75,83.75,72.4
Jawa Tengah,Banyumas,Kebasen,April,118.98,516.75,4,18.75,74.87,121.46
Jawa Tengah,Banyumas,Kebasen,Mei,602.22,131.52,5,118.98,18.75,74.87
Jawa Tengah,Banyumas,Kebasen,Juni,177.24,25.68,6,602.22,118.98,18.75
Jawa Tengah,Banyumas,Kebasen,Juli,21.05,23.52,7,177.24,602.22,118.98
Jawa Tengah,Banyumas,Kebasen,Agustus,3.88,242.65,8,21.05,177.24,602.22
Jawa Tengah,Banyumas,Kebasen,September,8.69,532.24,9,3.88,21.05,177.24
Jawa Tengah,Banyumas,Kebasen,Oktober,48.92,126.77,10,8.69,3.88,21.05
Jawa Tengah,Banyumas,Kebasen,November,590.61,10.85,11,48.92,8.69,3.88
Jawa Tengah,Banyumas,Kebasen,Desember,260.11,4.32,12,590.61,48.92,8.69
Jawa Tengah,Banyumas,Kedungbanteng,April,73.38,206.34,4,125.59,175.82,230.69
Jawa Tengah,Banyumas,Kedungbanteng,Mei,109.75,217.18,5,73.38,125.59,175.82
Jawa Tengah,Banyumas,Kedungbanteng,Juni,151.46,182.72,6,109.75,73.38,125.59
Jawa Tengah,Banyumas,Kedungbanteng,Juli,203.53,114.89,7,151.46,109.75,73.38
Jawa Tengah,Banyumas,Kedungbanteng,Agustus,182.02,50.31,8,203.53,151.46,109.75
Jawa Tengah,Banyumas,Kedungbanteng,September,90.71,129.99,9,182.02,203.53,151.46
Jawa Tengah,Banyumas,Kedungbanteng,Oktober,85.08,162.43,10,90.71,182.02,203.53
Jawa Tengah,Banyumas,Kedungbanteng,November,97.86,211.01,11,85.08,90.71,182.02
Jawa Tengah,Banyumas,Kedungbanteng,Desember,140.55,145.54,12,97.86,85.08,90.71
Jawa Tengah,Banyumas,Kembaran,April,166.65,669.34,4,82.42,117.63,362.06
Jawa Tengah,Banyumas,Kembaran,Mei,555.37,284.07,5,166.65,82.42,117.63
Jawa Tengah,Banyumas,Kembaran,Juni,318.53,97.47,6,555.37,166.65,82.42
Jawa Tengah,Banyumas,Kembaran,Juli,138.03,109.14,7,318.53,555.37,166.65
Jawa Tengah,Banyumas,Kembaran,Agustus,93.11,191.07,8,138.03,318.53,555.37
Jawa Tengah,Banyumas,Kembaran,September,73.91,559.21,9,93.11,138.03,318.53
Jawa Tengah,Banyumas,Kembaran,Oktober,129.56,294.22,10,73.91,93.11,138.03
Jawa Tengah,Banyumas,Kembaran,November,495.04,123.87,11,129.56,73.91,93.11
Jawa Tengah,Banyumas,Kembaran,Desember,349.39,61.65,12,495.04,129.56,73.91
Jawa Tengah,Banyumas,Kemranjen,April,11.19,1176.44,4,42.14,93.45,424.73
Jawa Tengah,Banyumas,Kemranjen,Mei,403.87,451.96,5,11.19,42.14,93.45
Jawa Tengah,Banyumas,Kemranjen,Juni,1230.58,55.22,6,403.87,11.19,42.14
Jawa Tengah,Banyumas,Kemranjen,Juli,160.1,26.51,7,1230.58,403.87,11.19
Jawa Tengah,Banyumas,Kemranjen,Agustus,40.15,23.87,8,160.1,1230.58,403.87
Jawa Tengah,Banyumas,Kemranjen,September,8.49,496.91,9,40.15,160.1,1230.58
